storename,Avg_list_price,Avg_sale_price
BICYCLERY,2480.01000000,2480.00000000
"RIVER TRAIL BICYCLES",2479.46000000,2470.00000000
"ZIMMERMAN'S BIKE SHOP",2478.65500000,2470.00000000
"OSCAR WASTYN CYCLES",2477.94000000,2475.00000000
"GARNER'S PRO BICYCLE SHOP",2477.71333333,2473.33333333
"WITTY'S CUSTOM ACCESSORIES",2477.38000000,2470.00000000
"HERWIG'S BICYCLE STORE",2477.12000000,2470.00000000
"FABER'S CYCLERY",2476.76000000,2470.00000000
"VILLAGE CYCLE SPORTS",2476.76000000,2470.00000000
"VAL'S CYCLERY",2475.62000000,2470.00000000
"BILLY'S BOAT & BIKE CORRAL",2475.09500000,2465.00000000
"O'NEAL'S CYCLERY",2474.15500000,2470.00000000
"CUSTOM CYCLE",2473.92500000,2470.00000000
"FORESTRY SUPPLY",2473.01000000,2470.00000000
"CARTY'S BIKE SHOP",2472.74000000,2470.00000000
"PEDAL POWER BIKE SHOP",2472.53500000,2455.00000000
"RADIUS BIKE RACK",2472.28000000,2470.00000000
"SKI & BIKE RACK",2472.26000000,2470.00000000
"ALLENS SCHWINN CYCLERY INC",2472.26000000,2470.00000000
"BICYCLE THERAPY",2471.12666667,2466.66666667
"BICYCLE SALES & SERVICE",2469.42000000,2460.00000000
"SOUTH LYON CYCLE & SPORTS",2469.41000000,2465.00000000
"ANGOLA SCHWINN",2468.48000000,2460.00000000
"PLYM SCHWINN CYCLING & FITNS",2468.48000000,2460.00000000
"SOUTH HILLS SKI & BIKE",2466.57000000,2460.00000000
"BIKE WORLD DON JOHLE'S",2466.57000000,2460.00000000
"JIM'S STORE",2465.97000000,2450.00000000
"BICYCLE RPR SHP SANTA MONICA",2465.44000000,2460.00000000
"HOME TOWN SPORTS",2465.44000000,2460.00000000
"MONTLAKE BICYCLE SHOP",2465.44000000,2460.00000000
"STATE LINE CYCLES",2464.90000000,2460.00000000
"PEDDLER SHOP",2463.65000000,2460.00000000
"PALM SPRINGS CYCLERY",2463.07000000,2460.00000000
"KRISTI MOUNTAIN SPORTS",2462.62000000,2460.00000000
"COSMOS ENTERPRISE",2461.25000000,2460.00000000
"BOB LOUNSBURY SPORTING GDS INC",2461.25000000,2460.00000000
"MOUNTAIN CYCLE",2461.25000000,2460.00000000
"GUY'S BICYCLE SHOP",2461.25000000,2460.00000000
"VENABLE'S BICYCLES",2461.25000000,2460.00000000
"CICLO SPORT SHOP",2461.25000000,2460.00000000
"GEORGE'S VALLEY SCHWINN",2461.25000000,2460.00000000
"THE BIKE SHACK",2461.25000000,2460.00000000
"SKEDADDLE BICYCLES",2460.20000000,2425.00000000
"BUSTLETON BIKES",2459.27500000,2430.00000000
"PEDERSEN'S SKI & SPORT",2457.83000000,2450.00000000
"HAWK RACING INC",2457.83000000,2450.00000000
"BUZZ'S BIKES",2457.17000000,2425.00000000
"JAMES VINCENT BICYCLES",2456.53000000,2450.00000000
"THE OPEN ROAD BICYCLE SHOP",2456.53000000,2450.00000000
"EXCELLENT BIKES",2456.42000000,2450.00000000
"U S LIYANG A INC",2454.57000000,2450.00000000
"WAYNE'S BMX BIKES",2454.50000000,2450.00000000
BIKEWORKS,2453.05000000,2450.00000000
"NOKOMIS CYCLE",2453.05000000,2450.00000000
"CIP SPORTS",2452.26000000,2450.00000000
"JML SALES CO",2451.48000000,2450.00000000
"BICYCLES INC",2451.17000000,2450.00000000
"FREEMAN'S BICYCLE REPAIR",2451.17000000,2450.00000000
"OZARK BIKE SHOP",2450.36250000,2440.00000000
"BOOKENDS BIKE SHOP",2449.48000000,2440.00000000
"THE BICYCLE BUS ",2449.42500000,2445.00000000
"THE PATHFINDER",2447.78500000,2445.00000000
"ED'S BICYCLE SHOP",2447.73166667,2435.83333333
"BIKE AMBULANCE",2446.61500000,2440.00000000
"HIALEAH SCHWINN CYCLE",2446.15000000,2440.00000000
"I C BIKE'S INC",2445.65000000,2440.00000000
"FREEWHEELER BIKE SHOP II",2444.71000000,2440.00000000
"RIVERDALE CYCLE",2444.35000000,2440.00000000
"CYCLING TUNES",2444.19000000,2440.00000000
"INKY'S SCHWINN BICYCLE INC",2443.26000000,2440.00000000
"PEDAL PADDLE BICYCLE SHOP",2443.01000000,2440.00000000
"DAWSON BROTHERS CYCLE CO",2442.60000000,2430.00000000
"LEE'S BICYCLES",2439.64000000,2430.00000000
